plant,part,parasite,group,concentration_mgml,Pre,Dur,Post,delta,pct_change,block,flag
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,59,50,52.67,-6.329999999999998,-10.72881355932203,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,56,45.67,56.33,0.3299999999999983,0.5892857142857112,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,52.33,49.33,46.67,-5.659999999999997,-10.815975539843295,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,50,51,53.2,3.200000000000003,6.400000000000006,M. oleifera | seeds | T. evansi,NA
M. oleifera,roots,T. evansi,100mg/ml,100,50.67,57.33,58,7.329999999999998,14.466153542530092,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,10mg/ml,10,52,50,53.67,1.6700000000000017,3.211538461538465,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,56.67,60.33,56,-0.6700000000000017,-1.1822833950944092,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,54.67,52,53,-1.6700000000000017,-3.0546917870861563,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,55.33,53.33,50.67,-4.659999999999997,-8.422194108078793,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,Negative Control,NA,50,53,43,-7,-14,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,Positive Control,NA,50,50,51.2,1.2000000000000028,2.4000000000000057,M. oleifera | roots | T. evansi,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,51,49,54.67,3.6700000000000017,7.196078431372553,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,50,55.33,54.67,4.670000000000002,9.340000000000003,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,50.33,58,56.33,6,11.92131929266839,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,49.33,53.33,38.67,-10.659999999999997,-21.60956821406851,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,51.33,58.33,36.33,-15,-29.222676797194623,M. oleifera | stem bark | T. evansi,anemia
M. oleifera,stem bark,T. evansi,Negative Control,NA,52.33,53,36,-16.33,-31.205809287215743,M. oleifera | stem bark | T. evansi,anemia
M. oleifera,stem bark,T. evansi,Positive Control,NA,51,50,52,1,1.9607843137254901,M. oleifera | stem bark | T. evansi,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,59.67,51.33,54.33,-5.340000000000003,-8.949220713926602,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,49.33,48.33,52,2.6700000000000017,5.4125278735049704,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,53,46,50.33,-2.6700000000000017,-5.037735849056607,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,50.67,50.67,49,-1.6700000000000017,-3.295835800276301,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,50.33,50.33,44,-6.329999999999998,-12.576991853765145,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,48.33,46.67,45,-3.3299999999999983,-6.890130353817502,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,50,50,52,2,4,M. oleifera | leaves | T. evansi,NA
