plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
A. indica,seeds,T. evansi,0.005mg/ml,0.005,Infection,21.3333,FALSE,NA
A. indica,seeds,T. evansi,0.005mg/ml,0.005,Post-Infection,19.5,FALSE,NA
A. indica,seeds,T. evansi,Negative Control,NA,Pre-Infection,18.96667,FALSE,NA
A. indica,seeds,T. evansi,Negative Control,NA,Infection,18.1,FALSE,NA
A. indica,seeds,T. evansi,Negative Control,NA,Post-Infection,17.6,FALSE,NA
A. indica,seeds,T. evansi,Positive Control,NA,Pre-Infection,21.67,FALSE,NA
A. indica,seeds,T. evansi,Positive Control,NA,Infection,23.556,FALSE,NA
A. indica,seeds,T. evansi,Positive Control,NA,Post-Infection,26.667,FALSE,NA
A. indica,roots,T. evansi,100mg/ml,100,Pre-Infection,25.4,FALSE,NA
A. indica,roots,T. evansi,100mg/ml,100,Infection,32.95,FALSE,NA
A. indica,roots,T. evansi,100mg/ml,100,Post-Infection,34.2,FALSE,NA
A. indica,roots,T. evansi,10mg/ml,10,Pre-Infection,22.67,FALSE,NA
A. indica,roots,T. evansi,10mg/ml,10,Infection,24.87,FALSE,NA
A. indica,roots,T. evansi,10mg/ml,10,Post-Infection,24,FALSE,NA
A. indica,roots,T. evansi,0.5mg/ml,0.5,Pre-Infection,25.88,FALSE,NA
A. indica,roots,T. evansi,0.5mg/ml,0.5,Infection,25.95,FALSE,NA
A. indica,roots,T. evansi,0.5mg/ml,0.5,Post-Infection,23.1,FALSE,NA
A. indica,roots,T. evansi,0.01mg/ml,0.01,Pre-Infection,26.57,FALSE,NA
A. indica,roots,T. evansi,0.01mg/ml,0.01,Infection,26.07,FALSE,NA
A. indica,roots,T. evansi,0.01mg/ml,0.01,Post-Infection,25.93,FALSE,NA
A. indica,roots,T. evansi,0.005mg/ml,0.005,Pre-Infection,26.43,FALSE,NA
A. indica,roots,T. evansi,0.005mg/ml,0.005,Infection,26.47,FALSE,NA
A. indica,roots,T. evansi,0.005mg/ml,0.005,Post-Infection,30.25,FALSE,NA
A. indica,roots,T. evansi,Negative Control,NA,Pre-Infection,26.9,FALSE,NA
A. indica,roots,T. evansi,Negative Control,NA,Infection,28.01,FALSE,NA
A. indica,roots,T. evansi,Negative Control,NA,Post-Infection,23.85,FALSE,NA
A. indica,roots,T. evansi,Positive Control,NA,Pre-Infection,25.4,FALSE,NA
A. indica,roots,T. evansi,Positive Control,NA,Infection,29.2,FALSE,NA
A. indica,roots,T. evansi,Positive Control,NA,Post-Infection,30.67,FALSE,NA
A. indica,stem bark,T. evansi,100mg/ml,100,Pre-Infection,19.53,FALSE,NA
A. indica,stem bark,T. evansi,100mg/ml,100,Infection,21.4,FALSE,NA
A. indica,stem bark,T. evansi,100mg/ml,100,Post-Infection,23.7,FALSE,NA
A. indica,stem bark,T. evansi,10mg/ml,10,Pre-Infection,20.3,FALSE,NA
A. indica,stem bark,T. evansi,10mg/ml,10,Infection,22.4,FALSE,NA
A. indica,stem bark,T. evansi,10mg/ml,10,Post-Infection,23.63,FALSE,NA
A. indica,stem bark,T. evansi,0.5mg/ml,0.5,Pre-Infection,24.7,FALSE,NA
A. indica,stem bark,T. evansi,0.5mg/ml,0.5,Infection,26.03,FALSE,NA
A. indica,stem bark,T. evansi,0.5mg/ml,0.5,Post-Infection,27.93,FALSE,NA
A. indica,stem bark,T. evansi,0.01mg/ml,0.01,Pre-Infection,19.73,FALSE,NA
A. indica,stem bark,T. evansi,0.01mg/ml,0.01,Infection,22.27,FALSE,NA
A. indica,stem bark,T. evansi,0.01mg/ml,0.01,Post-Infection,19.6,FALSE,NA
A. indica,stem bark,T. evansi,0.005mg/ml,0.005,Pre-Infection,20,FALSE,NA
A. indica,stem bark,T. evansi,0.005mg/ml,0.005,Infection,23.27,FALSE,NA
A. indica,stem bark,T. evansi,0.005mg/ml,0.005,Post-Infection,25.73,FALSE,NA
A. indica,stem bark,T. evansi,Negative Control,NA,Pre-Infection,21.6,FALSE,NA
A. indica,stem bark,T. evansi,Negative Control,NA,Infection,21.7,FALSE,NA
A. indica,stem bark,T. evansi,Negative Control,NA,Post-Infection,16.4,FALSE,NA
